alpha,first_crossing_bound,excess,quadrature_error_estimate,jump_z,tangency_c,function_evaluations
0.001,0.001028146505581,+0.000028146505581,3.436e-11,-0.568192982400976,4.664749398158800,420
0.002,0.002148554681849,+0.000148554681849,3.694e-11,-0.720762308040561,4.501137372703714,420
0.003,0.003284435006018,+0.000284435006018,8.862e-12,-0.812570455109027,4.402643059510424,420
0.004,0.004426899247752,+0.000426899247752,1.764e-11,-0.878975549498836,4.331384276505362,378
0.005,0.005572286769565,+0.000572286769565,1.670e-11,-0.931265854531388,4.275262888833185,420
0.006,0.006718680335022,+0.000718680335022,2.137e-11,-0.974533100960468,4.228820644254999,420
0.007,0.007864947037281,+0.000864947037281,2.623e-11,-1.011519981422102,4.189116912285908,420
0.008,0.009010367221763,+0.001010367221763,3.112e-11,-1.043876839415855,4.154382010691388,420
0.009,0.010154461792172,+0.001154461792172,3.607e-11,-1.072675504410604,4.123466451034687,420
0.010,0.011296901680650,+0.001296901680650,4.103e-11,-1.098652215546216,4.095580571716205,420
0.011,0.012437456235313,+0.001437456235313,4.601e-11,-1.122334911542799,4.070158066648244,420
0.012,0.013575961894495,+0.001575961894495,5.101e-11,-1.144115282529626,4.046778748490341,420
0.013,0.014712302228029,+0.001712302228029,5.605e-11,-1.164292088808633,4.025122090387035,420
0.014,0.015846394718368,+0.001846394718368,6.115e-11,-1.183098498549203,4.004937926093440,420
0.015,0.016978181724260,+0.001978181724260,6.632e-11,-1.200720042242288,3.986027174795379,420
0.016,0.018107624139212,+0.002107624139212,1.342e-10,-1.217306805431672,3.968228791419260,378
0.017,0.019234696841665,+0.002234696841665,1.760e-10,-1.232981947566083,3.951410603901018,378
0.018,0.020359385368665,+0.002359385368665,1.027e-10,-1.247847801606391,3.935462787403548,378
0.019,0.021481683444452,+0.002481683444452,1.172e-10,-1.261990335602974,3.920293073326173,378
0.020,0.022601591118462,+0.002601591118462,7.528e-11,-1.275482477899921,3.905823201349047,420
0.021,0.023719113345360,+0.002719113345360,9.014e-11,-1.288386636916767,3.891986174181577,420
0.022,0.024834258891466,+0.002834258891466,1.443e-10,-1.300756639109041,3.878724217395486,462
0.023,0.025947039479985,+0.002947039479985,9.027e-11,-1.312639239420456,3.865987139706532,378
0.024,0.027057469130977,+0.003057469130977,7.884e-11,-1.324075312766544,3.853731073546591,420
0.025,0.028165563627283,+0.003165563627283,1.773e-10,-1.335100804213858,3.841917414132248,378
0.026,0.029271340099776,+0.003271340099776,9.231e-11,-1.345747494296090,3.830512066878494,420
