alpha,certified_fdr_lower_bound,certified_excess_lower_bound
0.001,0.001014949530,0.000014949530
0.002,0.002125630758,0.000125630758
0.003,0.003250866280,0.000250866280
0.004,0.004380317181,0.000380317181
0.005,0.005520788794,0.000520788794
0.006,0.006656100251,0.000656100251
0.007,0.007796244585,0.000796244585
0.008,0.008931378142,0.000931378142
0.009,0.010068639974,0.001068639974
0.010,0.011196841965,0.001196841965
0.011,0.012336781171,0.001336781171
0.012,0.013465827265,0.001465827265
0.013,0.014594719596,0.001594719596
0.014,0.015723301949,0.001723301949
0.015,0.016851414428,0.001851414428
0.016,0.017965123659,0.001965123659
0.017,0.019091634119,0.002091634119
0.018,0.020202847046,0.002202847046
0.019,0.021327310376,0.002327310376
0.020,0.022435872005,0.002435872005
0.021,0.023542918499,0.002542918499
0.022,0.024663499149,0.002663499149
0.023,0.025767573844,0.002767573844
0.024,0.026870041211,0.002870041211
0.025,0.027970882863,0.002970882863
0.026,0.029070075756,0.003070075756
0.027,0.030167589354,0.003167589354
0.028,0.031263405201,0.003263405201
0.029,0.032357476854,0.003357476854
0.030,0.033449786204,0.003449786204
0.031,0.034540285004,0.003540285004
0.032,0.035628952846,0.003628952846
0.033,0.036715738755,0.003715738755
0.034,0.037787545493,0.003787545493
0.035,0.038870903271,0.003870903271
0.036,0.039952326861,0.003952326861
0.037,0.041031755142,0.004031755142
0.038,0.042109162913,0.004109162913
0.039,0.043173500535,0.004173500535
0.040,0.044247337409,0.004247337409
0.041,0.045319086088,0.004319086088
0.042,0.046388692681,0.004388692681
0.043,0.047447203465,0.004447203465
0.044,0.048513109819,0.004513109819
0.045,0.049576818330,0.004576818330
0.046,0.050631103737,0.004631103737
0.047,0.051691040682,0.004691040682
0.048,0.052748692515,0.004748692515
0.049,0.053798782413,0.004798782413
0.050,0.054852568515,0.004852568515
0.051,0.055900048225,0.004900048225
0.052,0.056949947488,0.004949947488
0.053,0.057997445223,0.004997445223
0.054,0.059040810010,0.005040810010
0.055,0.060084329139,0.005084329139
0.056,0.061125139713,0.005125139713
0.057,0.062163993206,0.005163993206
0.058,0.063201632816,0.005201632816
0.059,0.064236136514,0.005236136514
0.060,0.065268549992,0.005268549992
0.061,0.066301626868,0.005301626868
0.062,0.067329727796,0.005329727796
0.063,0.068360450282,0.005360450282
0.064,0.069384319438,0.005384319438
0.065,0.070412597774,0.005412597774
0.066,0.071432243255,0.005432243255
0.067,0.072458035100,0.005458035100
0.068,0.073473464496,0.005473464496
0.069,0.074496776794,0.005496776794
0.070,0.075508026474,0.005508026474
0.071,0.076528763007,0.005528763007
0.072,0.077549140581,0.005549140581
0.073,0.078554003266,0.005554003266
0.074,0.079571955679,0.005571955679
0.075,0.080572495723,0.005572495723
0.076,0.081588024303,0.005588024303
0.077,0.082584249005,0.005584249005
0.078,0.083597298375,0.005597298375
0.079,0.084589262306,0.005589262306
0.080,0.085599820937,0.005599820937
0.081,0.086587715514,0.005587715514
0.082,0.087595577220,0.005595577220
0.083,0.088603288950,0.005603288950
0.084,0.089584536933,0.005584536933
0.085,0.090589844715,0.005589844715
0.086,0.091566780782,0.005566780782
0.087,0.092569595600,0.005569595600
0.088,0.093571997962,0.005571997962
0.089,0.094542566467,0.005542566467
0.090,0.095542601305,0.005542601305
0.091,0.096508830459,0.005508830459
0.092,0.097506440454,0.005506440454
0.093,0.098468823304,0.005468823304
0.094,0.099463488443,0.005463488443
0.095,0.100458324200,0.005458324200
0.096,0.101413909448,0.005413909448
0.097,0.102406277117,0.005406277117
0.098,0.103398312343,0.005398312343
0.099,0.104347502529,0.005347502529
0.100,0.105337158461,0.005337158461
