N,m,alpha_index,alpha,replications,batch,seed,fdr,mcse,ci95_lower,ci95_upper,rejection_probability,rejection_probability_mcse,mean_fixed_point_iterations,maximum_fixed_point_iterations
50,8350,0,0.001,100000,20000,25260971,0.0010770203836113405,6.924600404148639e-05,0.0009413007096167121,0.001212740057605969,0.73397,0.001397347627113597,3.9858,28
50,8350,1,0.002,100000,20000,25268890,0.002093302016035504,9.231758710073115e-05,0.0019123628701784316,0.002274241161892577,0.77957,0.0013108799147900619,3.99516,33
50,8350,2,0.003,100000,20000,25276809,0.0031107352635481623,0.00010883790924695683,0.002897416881271488,0.0033240536458248367,0.80615,0.0012500887068524376,4.02035,39
50,8350,3,0.004,100000,20000,25284728,0.003864091417958905,0.00011260026986661624,0.0036433989443708462,0.004084783891546964,0.82752,0.0011946993328867308,4.05028,33
50,8350,4,0.005,100000,20000,25292647,0.005059531320540796,0.00013030255075576112,0.004804143013965802,0.00531491962711579,0.83876,0.0011629344882666437,4.09481,32
50,8350,5,0.006,100000,20000,25300566,0.0061411716815457885,0.0001434651810909827,0.005859985093571946,0.006422358269519631,0.84763,0.0011364567000110475,4.12569,30
50,8350,6,0.007,100000,20000,25308485,0.007391260455461202,0.00015907134248611493,0.00707948635321598,0.007703034557706424,0.85739,0.0011057684563234747,4.17522,33
50,8350,7,0.008,100000,20000,25316404,0.008265395356624447,0.00016334799553366646,0.00794523916843165,0.008585551544817244,0.86685,0.0010743420195636025,4.23246,34
50,8350,8,0.009,100000,20000,25324323,0.009414760338613092,0.00017241739644802042,0.009076828451266807,0.009752692225959377,0.87344,0.0010513922503043286,4.25179,30
50,8350,9,0.01,100000,20000,25332242,0.01039142805190681,0.0001783419924780853,0.01004188416971865,0.01074097193409497,0.87922,0.001030495956323944,4.3011,35
50,8350,10,0.011,100000,20000,25340161,0.011231131976043283,0.00018103562273725558,0.010876308675559481,0.011585955276527084,0.88295,0.0010166085652796753,4.33348,31
50,8350,11,0.012,100000,20000,25348080,0.01302664356335939,0.00020556698815301397,0.01262373967016911,0.01342954745654967,0.88669,0.0010023514548300912,4.38665,34
50,8350,12,0.013,100000,20000,25355999,0.013591626033238309,0.00020095515208054892,0.013197761172652664,0.013985490893823954,0.89289,0.000977944006065787,4.39614,32
50,8350,13,0.014,100000,20000,25363918,0.014153652945206558,0.00019527858136139388,0.013770913958786152,0.014536391931626964,0.89561,0.0009669163764255935,4.43394,32
50,8350,14,0.015,100000,20000,25371837,0.015600068953463574,0.000209648018313283,0.015189166388139346,0.016010971518787803,0.89951,0.0009507458119813097,4.46898,41
50,8350,15,0.016,100000,20000,25379756,0.01655217212306623,0.00021174515177655394,0.016137159251683218,0.016967184994449245,0.9009,0.000944876658617409,4.50634,33
50,8350,16,0.017,100000,20000,25387675,0.017875033860797508,0.00022399105431672404,0.017436019461477575,0.01831404826011744,0.90522,0.0009262653593868227,4.51334,33
50,8350,17,0.018,100000,20000,25395594,0.018625404357479343,0.00022198230935426043,0.018190327025939965,0.01906048168901872,0.90759,0.000915807795882957,4.53704,33
50,8350,18,0.019,100000,20000,25403513,0.019425529101352645,0.00022247107464272992,0.018989493807450974,0.019861564395254317,0.912,0.0008958571314668426,4.5625,37
50,8350,19,0.02,100000,20000,25411432,0.02042349815609111,0.00022550999683174972,0.019981506684147138,0.020865489628035083,0.91443,0.0008845777246799742,4.58044,34
50,8350,20,0.021,100000,20000,25419351,0.021635600052848137,0.00023238515783492053,0.021180133512950037,0.022091066592746237,0.91625,0.0008759905107933532,4.60388,36
50,8350,21,0.022,100000,20000,25427270,0.02269200673617407,0.00023752759829118959,0.02222646119818904,0.0231575522741591,0.91814,0.0008669425609577606,4.61621,35
50,8350,22,0.023,100000,20000,25435189,0.023767498123022337,0.00024244766605250023,0.023292309429423643,0.02424268681662103,0.92061,0.0008549106848086528,4.63685,39
50,8350,23,0.024,100000,20000,25443108,0.024288054631188525,0.00023809462879053998,0.023821397733846634,0.024754711528530416,0.92316,0.00084223283241631,4.64208,31
50,8350,24,0.025,100000,20000,25451027,0.025507707025622894,0.0002449593210756727,0.025027595578637193,0.025987818472608594,0.92249,0.0008455897344457298,4.67765,36
50,8350,25,0.026,100000,20000,25458946,0.026988151599566683,0.00025583756919109006,0.02648671917805987,0.027489584021073495,0.92696,0.0008228314432494664,4.6777,31
50,8350,26,0.027,100000,20000,25466865,0.028056368437845605,0.0002611058293905321,0.027544610416086704,0.028568126459604506,0.92766,0.0008191881615355533,4.70316,37
50,8350,27,0.028,100000,20000,25474784,0.028989758654560892,0.00026170794379701994,0.0284768205102507,0.029502696798871086,0.92943,0.0008098757626945012,4.71717,33
50,8350,28,0.029,100000,20000,25482703,0.029725337540499986,0.00025950754892834844,0.029216712090884157,0.030233962990115815,0.9318,0.0007971747612663113,4.7253,32
50,8350,29,0.03,100000,20000,25490622,0.031085640994620814,0.0002672271887830746,0.030561885328916103,0.03160939666032553,0.93157,0.0007984192827080268,4.74579,35
50,8350,30,0.031,100000,20000,25498541,0.031625185504949534,0.0002655012352547026,0.03110481264599942,0.032145558363899644,0.93311,0.0007900362516998824,4.76422,40
50,8350,31,0.032,100000,20000,25506460,0.03309764764361582,0.0002731580741378548,0.03256226765621931,0.033633027631012336,0.93534,0.0007776829971138629,4.78097,38
