N,m,alpha_index,alpha,replications,batch,seed,fdr,mcse,ci95_lower,ci95_upper,rejection_probability,rejection_probability_mcse,mean_fixed_point_iterations,maximum_fixed_point_iterations
50,8350,9,0.01,500000,20000,20265921,0.010285920381253474,7.89499874925583e-05,0.010131181249188171,0.010440659513318776,0.878668,0.0004617586940729974,4.293062,34
50,8350,49,0.05,500000,20000,20265922,0.05118040812131694,0.0001389145282222092,0.05090814064907204,0.05145267559356184,0.954304,0.00029532313009312345,5.12311,38
50,8350,99,0.1,500000,20000,20265923,0.1012658477963085,0.0001650483629122386,0.10094235894929321,0.10158933664332379,0.980558,0.00019526396818665733,6.010798,44
100,16700,9,0.01,500000,20000,20270921,0.010351992277849349,7.9924501934416e-05,0.010195343132575592,0.010508641423123105,0.87564,0.0004666788840305505,4.613706,48
100,16700,49,0.05,500000,20000,20270922,0.05180696434648053,0.00014257069388260934,0.05152753092121973,0.05208639777174133,0.954122,0.00029588243988449187,5.464442,50
100,16700,99,0.1,500000,20000,20270923,0.10203070559444195,0.00016812676214406893,0.10170118319580225,0.10236022799308166,0.980914,0.00019350309870387112,6.383846,57
500,83500,9,0.01,500000,20000,20310921,0.010385432799806539,8.013230606393258e-05,0.01022837636592309,0.010542489233689988,0.874256,0.00046889752924066466,5.166416,74
500,83500,49,0.05,500000,20000,20310922,0.05271238391220138,0.00014688430629079076,0.05242449596197728,0.05300027186242548,0.955174,0.0002926316104729632,6.15463,94
500,83500,99,0.1,500000,20000,20310923,0.10305278378741016,0.00017038463053900514,0.10271883604803454,0.10338673152678578,0.98201,0.00018796999707400088,7.273042,97
1000,167000,9,0.01,500000,20000,20360921,0.010610874635897521,8.303970199951887e-05,0.010448119810691527,0.010773629461103516,0.87401,0.00046928993149224934,5.404082,107
1000,167000,49,0.05,500000,20000,20360922,0.05313367299745379,0.0001484845340970409,0.052842648658362384,0.0534246973365452,0.956266,0.0002892104328823566,6.459722,99
1000,167000,99,0.1,500000,20000,20360923,0.10323011071322076,0.000169949610193541,0.1028970155980548,0.10356320582838673,0.983212,0.00018169294458508854,7.641398,114
