alpha,limiting_fdr,excess,ratio,crossing_probability,maximum_c_star
0.001,0.001028186670,0.000028186670,1.028186670,1.000000000001,12.762295481
0.002,0.002148483369,0.000148483369,1.074241685,1.000000000001,11.416486760
0.003,0.003284406654,0.000284406654,1.094802218,1.000000000001,10.710667835
0.004,0.004426647161,0.000426647161,1.106661790,1.000000000001,10.238051239
0.005,0.005572437566,0.000572437566,1.114487513,1.000000000001,9.885398977
0.006,0.006718655940,0.000718655940,1.119775990,1.000000000001,9.605444633
0.007,0.007864930572,0.000864930572,1.123561510,1.000000000001,9.374074775
0.008,0.009010016680,0.001010016680,1.126252085,1.000000000001,9.177371324
0.009,0.010154285022,0.001154285022,1.128253891,1.000000000001,9.006594001
0.010,0.011296737576,0.001296737576,1.129673758,1.000000000001,8.855908129
0.011,0.012437645453,0.001437645453,1.130695041,1.000000000001,8.721227644
0.012,0.013576423885,0.001576423885,1.131368657,1.000000000001,8.599585195
0.013,0.014712562996,0.001712562996,1.131735615,1.000000000001,8.488761039
0.014,0.015846915596,0.001846915596,1.131922543,1.000000000001,8.387049211
0.015,0.016977887450,0.001977887450,1.131859163,1.000000000001,8.293115685
0.016,0.018107889472,0.002107889472,1.131743092,1.000000000001,8.205894681
0.017,0.019234021069,0.002234021069,1.131413004,1.000000000001,8.124522738
0.018,0.020358889470,0.002358889470,1.131049415,1.000000000001,8.048291539
0.019,0.021480974513,0.002480974513,1.130577606,1.000000000001,7.976612106
0.020,0.022601616906,0.002601616906,1.130080845,1.000000000001,7.908990622
0.021,0.023719280239,0.002719280239,1.129489535,1.000000000001,7.845008006
0.022,0.024833879720,0.002833879720,1.128812715,1.000000000001,7.784306033
0.023,0.025946833440,0.002946833440,1.128123193,1.000000000001,7.726576621
0.024,0.027058097294,0.003058097294,1.127420721,1.000000000001,7.671552368
0.025,0.028166152230,0.003166152230,1.126646089,1.000000000001,7.619000621
0.026,0.029270977227,0.003270977227,1.125806816,1.000000000001,7.568715723
0.027,0.030375480847,0.003375480847,1.125017809,1.000000000001,7.520517905
0.028,0.031476712158,0.003476712158,1.124168291,1.000000000001,7.474246489
0.029,0.032574686968,0.003574686968,1.123265068,1.000000000001,7.429759001
0.030,0.033672244068,0.003672244068,1.122408136,1.000000000001,7.386928085
0.031,0.034766536333,0.003766536333,1.121501172,1.000000000001,7.345639505
0.032,0.035858967388,0.003858967388,1.120592731,1.000000000001,7.305789238
0.033,0.036948193742,0.003948193742,1.119642235,1.000000000001,7.267284834
0.034,0.038036868782,0.004036868782,1.118731435,1.000000000001,7.230041749
0.035,0.039122366682,0.004122366682,1.117781905,1.000000000001,7.193982329
0.036,0.040205994814,0.004205994814,1.116833189,1.000000000001,7.159036899
0.037,0.041287738331,0.004287738331,1.115884820,1.000000000001,7.125140881
0.038,0.042366449378,0.004366449378,1.114906563,1.000000000001,7.092235419
0.039,0.043444420847,0.004444420847,1.113959509,1.000000000001,7.060266906
0.040,0.044519424461,0.004519424461,1.112985612,1.000000000001,7.029184866
0.041,0.045592582708,0.004592582708,1.112014212,1.000000000001,6.998943434
0.042,0.046663885418,0.004663885418,1.111044891,1.000000000001,6.969500008
0.043,0.047733322817,0.004733322817,1.110077275,1.000000000001,6.940814983
0.044,0.048800885383,0.004800885383,1.109111031,1.000000000001,6.912852269
0.045,0.049866564511,0.004866564511,1.108145878,1.000000000001,6.885577215
0.046,0.050929635494,0.004929635494,1.107165989,1.000000000001,6.858958171
0.047,0.051991576201,0.004991576201,1.106203749,1.000000000001,6.832965567
0.048,0.053051013974,0.005051013974,1.105229458,1.000000000001,6.807571560
0.049,0.054108659364,0.005108659364,1.104258354,1.000000000001,6.782750448
0.050,0.055164970734,0.005164970734,1.103299415,1.000000000001,6.758477823
0.051,0.056218942918,0.005218942918,1.102332214,1.000000000001,6.734730982
0.052,0.057271109769,0.005271109769,1.101367496,1.000000000001,6.711488268
0.053,0.058321197137,0.005321197137,1.100399946,1.000000000001,6.688729666
0.054,0.059369794062,0.005369794062,1.099440631,1.000000000001,6.666436198
0.055,0.060416567263,0.005416567263,1.098483041,1.000000000001,6.644589857
0.056,0.061461481291,0.005461481291,1.097526452,1.000000000001,6.623173618
0.057,0.062504661566,0.005504661566,1.096573010,1.000000000001,6.602172152
0.058,0.063546132092,0.005546132092,1.095622967,1.000000000001,6.581569418
0.059,0.064585706014,0.005585706014,1.094672983,1.000000000001,6.561351875
0.060,0.065623718486,0.005623718486,1.093728641,1.000000000001,6.541505598
0.061,0.066660042567,0.005660042567,1.092787583,1.000000000001,6.522017676
0.062,0.067694220107,0.005694220107,1.091842260,1.000000000001,6.502875961
0.063,0.068727068005,0.005727068005,1.090905841,1.000000000001,6.484068842
0.064,0.069758220765,0.005758220765,1.089972199,1.000000000001,6.465585216
0.065,0.070787675444,0.005787675444,1.089041161,1.000000000001,6.447414460
0.066,0.071815430028,0.005815430028,1.088112576,1.000000000001,6.429547158
0.067,0.072841483039,0.005841483039,1.087186314,1.000000000001,6.411973009
0.068,0.073865833765,0.005865833765,1.086262261,1.000000000001,6.394683330
0.069,0.074888484525,0.005888484525,1.085340355,1.000000000001,6.377669073
0.070,0.075910574090,0.005910574090,1.084436773,1.000000000001,6.360922489
0.071,0.076929893057,0.005929893057,1.083519621,1.000000000001,6.344435108
0.072,0.077947507109,0.005947507109,1.082604265,1.000000000001,6.328199442
0.073,0.078964853003,0.005964853003,1.081710315,1.000000000001,6.312208288
0.074,0.079979134440,0.005979134440,1.080799114,1.000000000001,6.296454712
0.075,0.080991717120,0.005991717120,1.079889562,1.000000000001,6.280932040
0.076,0.082004299020,0.006004299020,1.079003934,1.000000000001,6.265633841
0.077,0.083013550269,0.006013550269,1.078098055,1.000000000001,6.250553921
0.078,0.084022997315,0.006022997315,1.077217914,1.000000000001,6.235686304
0.079,0.085030942938,0.006030942938,1.076341050,1.000000000001,6.221025305
0.080,0.086035231269,0.006035231269,1.075440391,1.000000000001,6.206565953
0.081,0.087040039805,0.006040039805,1.074568393,1.000000000001,6.192302333
0.082,0.088043340416,0.006043340416,1.073699273,1.000000000001,6.178229922
0.083,0.089042679783,0.006042679783,1.072803371,1.000000000001,6.164343449
0.084,0.090042844354,0.006042844354,1.071938623,1.000000000001,6.150638737
0.085,0.091041502880,0.006041502880,1.071076504,1.000000000001,6.137110759
0.086,0.092038654021,0.006038654021,1.070216907,1.000000000001,6.123755507
0.087,0.093031445735,0.006031445735,1.069326962,1.000000000001,6.110568877
0.088,0.094025462295,0.006025462295,1.068471162,1.000000000001,6.097546591
0.089,0.095017980037,0.006017980037,1.067617753,1.000000000001,6.084684812
0.090,0.096008995775,0.006008995775,1.066766620,1.000000000001,6.071979819
0.091,0.096998509870,0.005998509870,1.065917691,1.000000000001,6.059428004
0.092,0.097986523442,0.005986523442,1.065070907,1.000000000001,6.047025869
