macro_replication,alpha_0.001,alpha_0.002,alpha_0.003,alpha_0.004,alpha_0.005,alpha_0.006,alpha_0.007,alpha_0.008,alpha_0.009,alpha_0.010,alpha_0.011,alpha_0.012,alpha_0.013,alpha_0.014,alpha_0.015,alpha_0.016,alpha_0.017,alpha_0.018,alpha_0.019,alpha_0.020,alpha_0.021,alpha_0.022,alpha_0.023,alpha_0.024,alpha_0.025,alpha_0.026,alpha_0.027,alpha_0.028,alpha_0.029,alpha_0.030,alpha_0.031,alpha_0.032,alpha_0.033,alpha_0.034,alpha_0.035,alpha_0.036,alpha_0.037,alpha_0.038,alpha_0.039,alpha_0.040,alpha_0.041,alpha_0.042,alpha_0.043,alpha_0.044,alpha_0.045,alpha_0.046,alpha_0.047,alpha_0.048,alpha_0.049,alpha_0.050,alpha_0.051,alpha_0.052,alpha_0.053,alpha_0.054,alpha_0.055,alpha_0.056,alpha_0.057,alpha_0.058,alpha_0.059,alpha_0.060,alpha_0.061,alpha_0.062,alpha_0.063,alpha_0.064,alpha_0.065,alpha_0.066,alpha_0.067,alpha_0.068,alpha_0.069,alpha_0.070,alpha_0.071,alpha_0.072,alpha_0.073,alpha_0.074,alpha_0.075,alpha_0.076,alpha_0.077,alpha_0.078,alpha_0.079,alpha_0.080,alpha_0.081,alpha_0.082,alpha_0.083,alpha_0.084,alpha_0.085,alpha_0.086,alpha_0.087,alpha_0.088,alpha_0.089,alpha_0.090,alpha_0.091,alpha_0.092,alpha_0.093,alpha_0.094,alpha_0.095,alpha_0.096,alpha_0.097,alpha_0.098,alpha_0.099,alpha_0.100
1,0.000935007404,0.002040627305,0.003193602159,0.004361626183,0.005536991504,0.006709736827,0.007878487138,0.009040391443,0.010197328665,0.011349101542,0.012495285279,0.013640386698,0.014779674177,0.015912537515,0.017049846555,0.018174537207,0.019297701443,0.020425991283,0.021546698518,0.022659266344,0.023784390131,0.024894233533,0.026002567836,0.027116847311,0.028222331916,0.029326321410,0.030428778400,0.031529706279,0.032621422772,0.033719166875,0.034815271141,0.035909660832,0.036994885100,0.038078471188,0.039167632814,0.040254896966,0.041333321378,0.042410077641,0.043485136056,0.044564778367,0.045636189707,0.046705877485,0.047773836346,0.048840052793,0.049904365815,0.050971616522,0.052027639381,0.053086668934,0.054143541575,0.055198722980,0.056252113031,0.057301259566,0.058351081582,0.059398940674,0.060444882558,0.061488668584,0.062530514144,0.063570325106,0.064608141463,0.065646065480,0.066683245088,0.067715894152,0.068746333199,0.069774590458,0.070800874746,0.071830959850,0.072853314666,0.073881337061,0.074908622923,0.075925488413,0.076939936745,0.077952222713,0.078973736474,0.079981987736,0.081001343604,0.082005380742,0.083022602878,0.084022630160,0.085037411556,0.086033085303,0.087045655309,0.088036869686,0.089025544443,0.090034279311,0.091042683739,0.092025240856,0.093031194023,0.094036724271,0.094984540754,0.095985810811,0.096987333132,0.097988415401,0.098955260347,0.099953761321,0.100915566898,0.101911945045,0.102868928436,0.103863015466,0.104856793927,0.105806831690
2,0.000916556958,0.002002137967,0.003132891857,0.004284200960,0.005439304164,0.006594487556,0.007746989128,0.008894166565,0.010038086906,0.011178558498,0.012315197298,0.013447525399,0.014580088244,0.015713097856,0.016840845105,0.017968525445,0.019089793272,0.020216897230,0.021337043855,0.022456344472,0.023567745937,0.024685075226,0.025794023141,0.026901625031,0.028015372015,0.029120252628,0.030223631897,0.031325493842,0.032418150468,0.033524468253,0.034613944862,0.035709322079,0.036795499787,0.037880065840,0.038977453557,0.040058529831,0.041137985795,0.042215755064,0.043298405707,0.044372647194,0.045445261386,0.046510174657,0.047585023844,0.048652263665,0.049717791309,0.050781563671,0.051843546163,0.052903772680,0.053962191773,0.055018780615,0.056073512536,0.057126370745,0.058177383460,0.059225077734,0.060272604429,0.061317989821,0.062361348930,0.063402734015,0.064443831368,0.065481827023,0.066520469356,0.067554723792,0.068586882073,0.069621607272,0.070644415261,0.071676085082,0.072700056635,0.073729759335,0.074750002188,0.075777315453,0.076803971199,0.077807263459,0.078830834445,0.079853756306,0.080848203218,0.081867658155,0.082886770798,0.083905211428,0.084905083279,0.085902621877,0.086896866750,0.087909618138,0.088900157460,0.089910539134,0.090920619998,0.091930094915,0.092912433294,0.093919403674,0.094897129373,0.095872183444,0.096874493759,0.097844446782,0.098845187764,0.099845546750,0.100809218198,0.101806843035,0.102765193236,0.103760889728,0.104756172119,0.105750922596
3,0.000969646712,0.002112930067,0.003288511077,0.004463871935,0.005624590537,0.006773846115,0.007915925073,0.009052554557,0.010187598862,0.011321140323,0.012452576338,0.013581074286,0.014710765127,0.015841547283,0.016967507513,0.018093677812,0.019213637436,0.020339565559,0.021458582494,0.022576868340,0.023687283383,0.024803700966,0.025919142428,0.027026128478,0.028124259183,0.029236055610,0.030338925807,0.031440330385,0.032532610298,0.033638619902,0.034727841926,0.035823044504,0.036909082979,0.037993558331,0.039083656170,0.040164829825,0.041251298050,0.042329091153,0.043411743231,0.044479680696,0.045552468568,0.046629336011,0.047698464015,0.048765879269,0.049831526600,0.050895373737,0.051957419291,0.053017534533,0.054075749886,0.055129159488,0.056186714627,0.057237089316,0.058288170113,0.059337297586,0.060384459949,0.061429641067,0.062472756611,0.063514944976,0.064554570379,0.065591939527,0.066627323163,0.067660523547,0.068695809500,0.069725358424,0.070758367181,0.071784149801,0.072814703964,0.073836546796,0.074855998365,0.075882630165,0.076898170311,0.077911334637,0.078934297719,0.079943617874,0.080964071227,0.081969171484,0.082987317355,0.083988126686,0.084986339488,0.086000556818,0.086994561995,0.088006601233,0.088996248380,0.090006033613,0.091015363400,0.091998715898,0.093005683597,0.094012095381,0.094960499827,0.095962948836,0.096965356461,0.097934766260,0.098934797142,0.099934431580,0.100933505533,0.101894324706,0.102890735363,0.103846395888,0.104840511561,0.105834290791
4,0.000943714831,0.002061642699,0.003223783283,0.004402986766,0.005587024548,0.006767029879,0.007941790958,0.009108645584,0.010269615459,0.011424495801,0.012573125333,0.013715090314,0.014855112108,0.015993636795,0.017125138243,0.018255006771,0.019383460069,0.020504125673,0.021616421891,0.022733668138,0.023849441302,0.024963779040,0.026069364866,0.027180700356,0.028275568368,0.029383840212,0.030483013360,0.031580560646,0.032676504029,0.033763185656,0.034855838055,0.035946767956,0.037028570283,0.038116167956,0.039194762973,0.040278873871,0.041354185546,0.042427922239,0.043500039359,0.044570568314,0.045645603449,0.046712595219,0.047778020818,0.048841780614,0.049903904903,0.050964320245,0.052023042274,0.053080107047,0.054135252567,0.055188852002,0.056240443193,0.057288233498,0.058336722216,0.059383335132,0.060428094486,0.061470859469,0.062511752358,0.063551813758,0.064589385836,0.065624840759,0.066661214689,0.067693220539,0.068723092960,0.069750914915,0.070782307522,0.071812977285,0.072835632892,0.073856024389,0.074874182653,0.075890080856,0.076914062591,0.077937461246,0.078947995413,0.079969030056,0.080975468551,0.081994336744,0.082996698196,0.084013302926,0.085011469056,0.086007094652,0.087019825849,0.088032106632,0.089021749550,0.090008654406,0.091017043062,0.092000027152,0.093005754716,0.094011393008,0.094987639741,0.095960906909,0.096962579464,0.097931617635,0.098930794233,0.099929837166,0.100892043719,0.101888659389,0.102884934665,0.103840241808,0.104834145395,0.105827636287
5,0.000905612522,0.001977829492,0.003099896710,0.004246512858,0.005402358018,0.006563475980,0.007726019234,0.008885763131,0.010043200460,0.011196879666,0.012345771303,0.013493861516,0.014636189336,0.015772067482,0.016906548877,0.018033735010,0.019165601662,0.020296436597,0.021419554456,0.022534357617,0.023661560616,0.024773305859,0.025883384469,0.026991844140,0.028106209205,0.029211548343,0.030315270728,0.031417308215,0.032517711005,0.033608821945,0.034705846447,0.035801108986,0.036887160594,0.037978872440,0.039061503407,0.040142462330,0.041228665193,0.042306141441,0.043388449424,0.044462361016,0.045528483082,0.046599178459,0.047673709487,0.048740553558,0.049805768803,0.050869236842,0.051930883222,0.052990757673,0.054048870228,0.055104984587,0.056159307113,0.057211581235,0.058260490209,0.059309552721,0.060356608353,0.061401873162,0.062444820908,0.063486047095,0.064526798930,0.065564462026,0.066600244944,0.067637067088,0.068669011873,0.069698744033,0.070726336671,0.071758131494,0.072782202978,0.073811580553,0.074831617278,0.075858940679,0.076875394395,0.077888817697,0.078912148966,0.079921908186,0.080943101233,0.081948785251,0.082967755915,0.083969270615,0.084986053737,0.085983347200,0.086997859026,0.087990998513,0.088981117241,0.089991471107,0.090977406959,0.091985617904,0.092993453109,0.094000692635,0.094978427665,0.095983206124,0.096956298851,0.097958570961,0.098926701691,0.099926833470,0.100926542520,0.101887992294,0.102885199044,0.103841587025,0.104836499061,0.105831044414
6,0.000910448019,0.001984627019,0.003108434362,0.004257100901,0.005415557132,0.006579963081,0.007746497599,0.008910908850,0.010073562978,0.011232891323,0.012387746029,0.013537154931,0.014690663906,0.015832914078,0.016973808464,0.018113498628,0.019245732590,0.020376357825,0.021512156804,0.022639893685,0.023759003754,0.024883429043,0.025998935799,0.027112577298,0.028231849844,0.029341826299,0.030442294458,0.031556073105,0.032660292319,0.033762603160,0.034855378099,0.035953769261,0.037042718612,0.038129778822,0.039222203423,0.040312572949,0.041386928927,0.042473256719,0.043550851587,0.044632955588,0.045706599580,0.046778475615,0.047848513843,0.048916699705,0.049982876883,0.051047314113,0.052109738381,0.053170241263,0.054228889867,0.055285628795,0.056340408408,0.057391192371,0.058444127057,0.059491780455,0.060539137398,0.061584346252,0.062627438786,0.063669606530,0.064709219037,0.065746692142,0.066784773891,0.067814977543,0.068850065214,0.069884485601,0.070912328385,0.071937915791,0.072961300586,0.073990250691,0.075018494632,0.076026803531,0.077051764510,0.078064877104,0.079087683670,0.080109811563,0.081117183748,0.082122464301,0.083124324647,0.084140679964,0.085156604550,0.086171855680,0.087166491237,0.088179339821,0.089169529280,0.090156977626,0.091165755670,0.092174069217,0.093155254882,0.094161219448,0.095137762368,0.096141419608,0.097113933591,0.098082246858,0.099081443084,0.100045540124,0.101042802582,0.102039769158,0.102997162905,0.103991725442,0.104985895119,0.105979531413
7,0.000898382804,0.001960371014,0.003073439696,0.004211615088,0.005364994529,0.006524920391,0.007689104385,0.008852953667,0.010016351528,0.011177229660,0.012333802740,0.013484742813,0.014639222201,0.015781792654,0.016922243477,0.018060741026,0.019191145269,0.020325938986,0.021452464168,0.022577147241,0.023693040790,0.024814194708,0.025933725268,0.027044273678,0.028153064192,0.029260139197,0.030365489287,0.031469150512,0.032571108540,0.033671336003,0.034762228289,0.035858933555,0.036946385542,0.038032164285,0.039123456841,0.040205732838,0.041293246949,0.042372009833,0.043449013964,0.044524283704,0.045603910358,0.046675502719,0.047745224031,0.048813215601,0.049879426595,0.050943835645,0.052006404317,0.053067102353,0.054125953994,0.055182900753,0.056235404842,0.057291124297,0.058340478015,0.059391304878,0.060437683162,0.061483431169,0.062526872885,0.063569509829,0.064609551375,0.065649721155,0.066686051398,0.067720221936,0.068752218485,0.069782096928,0.070815389342,0.071841509990,0.072872589726,0.073894887066,0.074914913923,0.075941868583,0.076958002637,0.077971494674,0.078994546177,0.080017138212,0.081011392587,0.082030349872,0.083049111421,0.084050633082,0.085048929433,0.086063742575,0.087078032394,0.088070739521,0.089060780488,0.090070854435,0.091056446585,0.092064387869,0.093071901341,0.094078801813,0.095056219218,0.096060565477,0.097033137209,0.098035224581,0.099003012555,0.099967826678,0.100965831572,0.101963534676,0.102960722749,0.103916892793,0.104911563194,0.105862864788
8,0.000974769801,0.002116735699,0.003294002681,0.004473573700,0.005647539586,0.006809961226,0.007964628243,0.009112478442,0.010257405936,0.011399745484,0.012539190251,0.013679835388,0.014816679631,0.015948679039,0.017080704389,0.018212612000,0.019338037809,0.020469153447,0.021586390060,0.022709192433,0.023837995834,0.024951596291,0.026063718555,0.027181793242,0.028290990258,0.029398634030,0.030504689223,0.031609107969,0.032704188819,0.033805211796,0.034904485051,0.036001979306,0.037090222595,0.038184058588,0.039268783129,0.040351769992,0.041433043538,0.042526096013,0.043596981090,0.044672885735,0.045753062711,0.046825169854,0.047895498258,0.048964038012,0.050030761689,0.051095636761,0.052158577644,0.053219677799,0.054278873786,0.055336167552,0.056391629154,0.057444921845,0.058494559316,0.059544370324,0.060592173668,0.061637945332,0.062682168199,0.063724288350,0.064764260767,0.065802121610,0.066840726623,0.067871300871,0.068906789837,0.069936689155,0.070964228433,0.071995614142,0.073019340998,0.074048466299,0.075068384427,0.076094922122,0.077110527067,0.078123664626,0.079146528206,0.080168718985,0.081176142880,0.082180991760,0.083183582794,0.084199891506,0.085215834317,0.086212234745,0.087225827918,0.088218122350,0.089228969219,0.090216412585,0.091225238678,0.092208234531,0.093214683247,0.094220657545,0.095197174735,0.096200645313,0.097172409715,0.098140998025,0.099140351249,0.100139383057,0.101137877490,0.102098086794,0.103055076954,0.104049032225,0.105042804797,0.105993592337
9,0.000995665156,0.002164194677,0.003360369825,0.004549211236,0.005722484868,0.006880313609,0.008029707565,0.009172526383,0.010312602281,0.011449927156,0.012583960629,0.013718713990,0.014843891599,0.015974093210,0.017098682506,0.018222879490,0.019346663056,0.020463530752,0.021579530266,0.022694664039,0.023801863908,0.024915068875,0.026027345242,0.027131224906,0.028233856178,0.029335237040,0.030435360438,0.031534167862,0.032631621006,0.033720033815,0.034814627739,0.035907735693,0.036991889833,0.038074611117,0.039163091844,0.040242809021,0.041327936694,0.042404514351,0.043479568872,0.044559371502,0.045625039943,0.046701209064,0.047764205323,0.048836549076,0.049901746065,0.050965236145,0.052027059273,0.053087156811,0.054145457488,0.055202009483,0.056256627481,0.057307409089,0.058358828063,0.059408347548,0.060455956338,0.061501642544,0.062545767062,0.063587953624,0.064628108631,0.065666216167,0.066705216193,0.067739751318,0.068776427829,0.069807251593,0.070835862260,0.071862225072,0.072893549098,0.073916147655,0.074945172739,0.075954330763,0.076980152887,0.077994472419,0.079017815910,0.080040802319,0.081049096881,0.082054734784,0.083057944091,0.084075409067,0.085074591185,0.086089714190,0.087104347758,0.088097376142,0.089087677285,0.090098133975,0.091108162384,0.092092376647,0.093099770000,0.094106777371,0.095084307099,0.096058894747,0.097061682362,0.098064087156,0.099032390949,0.100032006422,0.101031416529,0.101992601815,0.102989483600,0.103945603090,0.104898361010,0.105891104524
10,0.000944053667,0.002054336726,0.003207863092,0.004375595736,0.005546372240,0.006712095619,0.007872628059,0.009026383440,0.010176114606,0.011321947460,0.012463691118,0.013600904017,0.014743257439,0.015875467546,0.017007267996,0.018138716684,0.019269753056,0.020393846211,0.021516980849,0.022632191142,0.023753060132,0.024872842081,0.025991445575,0.027101390229,0.028209832945,0.029316765571,0.030422164412,0.031525978748,0.032628144055,0.033728661467,0.034819904376,0.035917028885,0.037004886056,0.038098443139,0.039182896478,0.040265643915,0.041353589302,0.042439541360,0.043510273244,0.044592340527,0.045659948248,0.046737916669,0.047808065906,0.048876411969,0.049942936355,0.051012312187,0.052070503415,0.053131622467,0.054190464060,0.055244594179,0.056300130840,0.057355791311,0.058405325819,0.059456161677,0.060502535856,0.061548187716,0.062591601966,0.063633070109,0.064672441015,0.065711850277,0.066747630878,0.067784578770,0.068820747663,0.069846070265,0.070878989862,0.071911198288,0.072935320331,0.073957096685,0.074976729406,0.075993822407,0.077018678083,0.078043080660,0.079054549727,0.080076600403,0.081083952346,0.082088625663,0.083106701534,0.084124135509,0.085105203750,0.086119246302,0.087132804632,0.088125044922,0.089114044601,0.090123257823,0.091132175741,0.092115630300,0.093121622288,0.094099870362,0.095104109515,0.096078015658,0.097079658993,0.098048590504,0.099048105111,0.100047263483,0.101045867968,0.102006131959,0.102963123861,0.103957536639,0.104951538675,0.105901764748
